FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,102,90943,82676,99637,393657500,0.0,0.0,0.0,0.0
2309,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,11,11047,9206,9517,37601143,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,5,3,573,1,198,1,8,2,603199010,5,11,U,835,133,111,503,1986325,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,5,7,827,1,198,1,8,2,603199010,5,11,U,3510,583,463,2106,8320638,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,5,8,618,1,198,1,2,2,603199010,5,11,U,7010,1048,993,3834,15325336,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,5,8,618,1,198,1,2,2,603199090,5,11,U,30,5,5,12,47973,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,5,9,169,1,198,1,1,2,6215200000,5,11,U,3200,205,200,11200,43977808,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,5,9,169,1,198,1,8,2,3204120000,5,33,KG,25,27,25,4763,19351752,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,5,9,249,1,198,1,8,2,603199010,5,11,U,13685,1858,1464,10790,43136254,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,8,1,211,1,198,1,8,1,1704909000,8,33,KG,258,480,258,3516,14365722,3439.2,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,8,1,211,1,198,1,8,1,3004321900,8,33,KG,208,388,208,14703,60069727,14607.81,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,1,1,8523210000,11,11,U,5000,31,27,2650,10582855,2130.33,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,1,1,8523520000,11,11,U,122000,787,658,202006,812945114,108707.11,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,1,2,5911400000,11,33,KG,233,246,233,2805,11480977,0.0,1090.65,80.0,353.35
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,1,2,8205593000,11,11,U,1800,115,110,2328,9459502,0.0,657.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,1,2,8501311000,11,11,U,20,20,19,3900,15868047,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,1,2,8708802010,11,11,U,32,29,28,1980,8056085,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,1,5407109000,11,82,M2,1071,555,555,20588,83433694,7974.48,1382.66,82.35,470.05
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,1,8207132000,5,11,U,1,63,60,2482,9698711,2482.26,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,1,8207192100,5,11,U,1,63,60,3739,14608980,3738.98,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,602109000,11,11,U,20000,30,28,4000,15974120,0.0,9.0,0.0,0.0
