FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,102,90943,82676,99637,393657500,0.0,0.0,0.0,0.0
2309,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,11,11047,9206,9517,37601143,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,5,0,580,1,198,1,8,2,810905000,5,33,KG,2732,3549,2732,11330,45292795,0.0,5587.2,0.0,0.0
2309,3,105,BRA,3,BOG,5,1,211,1,198,1,8,2,8708100000,5,11,U,320,27,19,1405,5708208,0.0,419.2,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,198,1,2,2,603110000,11,11,U,10200,785,776,2172,8873858,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,198,1,6,1,603110000,11,11,U,55975,4956,4865,24866,101165833,24642.1,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,198,1,6,1,603193000,11,11,U,9000,293,285,990,4052110,984.15,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,198,1,8,1,603110000,11,11,U,42425,2823,2649,11897,48699512,10536.44,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,198,1,8,2,810905000,11,33,KG,2880,4152,2880,9360,36752882,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,198,1,8,2,3004321100,11,33,KG,11,12,11,2475,9773033,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,198,1,8,2,7415330000,11,33,KG,1,1,1,815,3309932,0.0,161.72,0.0,0.0
2309,3,105,BRA,3,BOG,11,0,580,1,199,1,8,2,3926903000,11,11,U,500,5,5,1005,3946223,0.0,162.4,0.0,0.0
2309,3,105,BRA,3,BOG,11,1,211,1,4,1,8,2,9805000000,11,11,U,33,635,455,1500,6078975,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,1,211,1,198,1,8,2,3204160000,13,33,KG,100,114,100,4469,18159156,0.0,488.0,0.0,90.0
2309,3,105,BRA,3,BOG,11,1,211,1,198,1,8,2,3808949900,11,33,KG,60,81,60,1548,6273332,0.0,765.0,75.0,0.0
2309,3,105,BRA,3,BOG,11,1,211,1,198,1,8,2,8431310000,11,11,U,10,133,133,5816,22965323,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,1,211,1,198,1,8,2,9018909090,11,11,U,29,5,5,37755,153616040,0.0,553.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,1,211,1,199,1,8,2,3926909090,11,11,U,900,3,3,1171,4737667,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,5,105,1,198,1,8,1,6004100000,11,33,KG,102,105,102,2260,9195330,1588.31,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,5,105,1,199,1,8,2,2932190000,11,33,KG,30,36,30,6787,27459453,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,169,1,104,2,8,2,8421291000,5,11,U,1,188,135,10000,40633600,0.0,989.8,2.7,562.0
